States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Modal Price,25,18,24,75,70,70,80,51,42,40,140,100,75,85,85,73,40,220,17,10,40,20,6/1/2018
Andhra Pradesh,30,27.5,29.5,77.25,67,75.75,75,57.5,41.25,41.75,105.75,116.75,68.25,87,84.75,67.5,45.75,212,13.5,15.75,39,9.5,6/1/2018
Assam,30,26,29,65,70,70,75,65,44,56,0,90,75,90,100,0,47,200,12,12,48,55,6/1/2018
Bihar,34,21,24,65,72,75,75,55,40,42,0,103,77,103,105,82,35,150,18,15,42,20,6/1/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,42,26,6/1/2018
Chhattisgarh,24.8,26.2,27,77.25,69.4,62.5,72.6,55,40.8,41.8,124.8,102.2,70.2,89.75,93.75,79,44.5,191.8,12,10.4,42,11.6,6/1/2018
Delhi,34,19,22,81,82,85,84,74,40,42,164,120,88,102,109,78,53,231,17,15,50,26,6/1/2018
Goa,42,30,28,90,70,110,90,70,40,50,170,159,115,100,115,79,60,240,17,25,47,25,6/1/2018
Gujarat,23.75,20.75,24,70,71.75,68.75,66.75,56,40,50.5,102.75,88.5,73.25,80,81.5,69,50.5,213.75,14.75,12,35.5,28.75,6/1/2018
Haryana,31,21,25.25,69,74.75,72.25,65.75,57.5,40.75,43.75,135.75,99,78.25,89.25,99,71.25,42,230,18.5,13.25,42.75,30.75,6/1/2018
Himachal Pradesh,30.5,0,23.5,66,70.75,65,70.5,60,41.75,34.25,139,126,89.25,89.75,90,75.5,40.25,182.5,17.5,9.5,46.25,26.75,6/1/2018
Jammu and Kashmir,30.5,22.5,24.5,83,84.5,85,77.5,68,46,38.5,0,118.5,96,112.5,120,95,39,230,18,15,49,25,6/1/2018
Jharkhand,34,24,24,75,70,70,75,55,42,42,145,107,75,104,104,76,38,260,18,13,40,20,6/1/2018
Karnataka,46,31.75,35.5,96.75,81,95.25,77.75,78,40,36,143.25,130.25,82.25,84.25,84,70.25,53.75,239.5,11.25,19.25,41,12.5,6/1/2018
Kerala,40.67,35.33,37.5,80.83,73.67,80.17,75.67,62.2,42,43,128,143.8,92,93,89.83,72.83,57.33,177.83,10.67,27.17,49.67,21.17,6/1/2018
Madhya Pradesh,24.33,18.83,22.17,71.5,67.83,67.17,62.5,54.67,41,44.33,125.17,86.17,68.33,77.17,88.17,67.33,39.33,217.33,15.83,10.83,35.33,25,6/1/2018
Maharashtra,34.5,25.5,30.25,74.25,68.5,76.75,77.5,59.25,40,39.75,121.25,125.75,81.25,81.75,90,72.5,44,236,16.5,17.25,36.5,24.25,6/1/2018
Odisha,25.67,0,23.33,61.33,64.67,60.33,70,50.33,40.33,34,0,97,73,85,89.33,78.67,41.67,186.67,17,8.33,45.33,18.67,6/1/2018
Puducherry,32,34,28,76,76,80,80,55,38,36,126,132,100,0,88,74,50,250,17,22,44,10,6/1/2018
Punjab,32,19.33,23,75.67,82,77.33,79.33,71.67,40.67,46.67,148.67,97.33,84.67,90.67,102,0,46.33,205,18,12,46,28.33,6/1/2018
Rajasthan,27,18,21,64,58,60,59,50,39.5,39,120.5,102,66.5,81.5,90,0,32.5,201.5,16.5,9.5,35,17.5,6/1/2018
Tamil Nadu,36.2,30.8,30.25,72.6,72,75.8,75,60.5,39.2,36,134,114.5,92.6,90,91.6,72.6,54,220,17,18.6,44,9.8,6/1/2018
Telangana,27.33,26.83,28.5,94.67,93.33,97.67,80.83,72.17,42.33,39.83,116.83,104.25,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,17,6/1/2018
Uttar Pradesh,24.25,18.25,21.38,66.5,65.88,61.71,67.25,55.38,40.25,48.38,128.71,103.63,81,92.29,107.71,77,39.13,195.63,16.38,10,41.63,24.13,6/1/2018
Uttarakhand,23.25,21.5,23.5,77.25,91.75,92.5,82.75,86.25,42.67,42.67,134.75,93.5,83.75,83.75,106,0,41.33,208.33,18,21.67,50,42.33,6/1/2018
West Bengal,29.71,18.67,24.14,71.43,83.29,86.71,81.57,70.71,43.86,40.14,128.5,100,79.43,85.71,92.71,70,43.14,185,11.57,10,45.71,39.29,6/1/2018
Average Price,28.52,22.45,25.07,73,74.34,75.61,73.08,62.4,41.02,42.33,126.11,102.79,78.1,85.43,93.29,70.87,43.33,206.67,15.52,14.23,41.75,25.21,7/1/2018
Maximum Price,50,34,34,95,132,130,100,90,45,56,165,165,103,102,126,85,58,260,20,26,52,60,7/1/2018
Minimum Price,20,17,20,54,53,55,56,45,36,28,85,80,62,70,78,62,29,120,9,7,20,8,7/1/2018
Modal Price,27.33,18,24,70,70,70,80,52,42,40,128,100,80,85,95,70,40,220,17,10,40,20,7/1/2018
Andhra Pradesh,30,27.5,29.5,77.25,67,75.75,75,57.5,41.25,41.75,105.75,116.5,68.25,87,84.75,67.5,45.75,212,13.5,15.75,39,9.5,7/1/2018
Assam,30,26,29,65,70,70,75,65,44,56,0,90,75,90,100,0,47,200,12,12,48,55,7/1/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,42,26,7/1/2018
Delhi,34,19,22,81,82,85,84,74,40,42,164,120,88,102,109,78,53,231,17,15,50,26,7/1/2018
Gujarat,23.75,20.75,24,70,71.75,68.75,66.75,56,40,50.5,102.75,88.5,73.25,80,81.5,69,50.5,213.75,14.75,12,35.5,28.75,7/1/2018
Haryana,31,21,25.25,69,74.75,72.25,65.75,57.5,40.75,43.75,135.75,99,78.25,89.25,99,71.25,42,230,18.5,13.25,42.75,30.75,7/1/2018
Himachal Pradesh,30,0,23.5,66.5,70,67.5,73,57.5,41,29,158,122.5,90.5,91.5,0,0,40.5,180,17,9,50,28.5,7/1/2018
Madhya Pradesh,24.33,18.83,22.17,71.5,67.83,67.17,62.5,54.67,41,44.33,125.17,86.17,68.33,77.17,88.17,67.33,39.33,217.33,15.83,10.83,35.33,25,7/1/2018
Maharashtra,34.75,25.5,30.25,74.25,68.25,76.25,77.25,59,40,39.75,121.25,125.75,81.25,81.75,90,72.5,44,236,16.5,17.25,35.5,23.25,7/1/2018
Odisha,25,0,24,60,66,65,72,52,40,34,0,100,75,0,90,78,42,180,17,8,46,20,7/1/2018
Puducherry,32,34,28,76,76,80,80,55,38,36,126,132,100,0,88,74,50,250,17,20,45,10,7/1/2018
Punjab,33.5,19.5,23,73.5,79,71,79,72.5,40,45,146.5,94,80.5,87,101,0,43.5,197.5,18,15,49,32.5,7/1/2018
Rajasthan,27,18,21,64,58,60,59,50,39.5,39,120.5,102,66.5,81.5,90,0,32.5,201.5,16.5,9.5,35,17.5,7/1/2018
Tamil Nadu,36.2,30.8,30.25,72.6,72,75.8,75,60.5,39.2,36,134,114.5,92.6,90,91.6,72.6,54,220,17,19,44,9.8,7/1/2018
Telangana,27.6,27,28.4,94.6,93.2,97.6,80.8,71.8,42,39.8,116.8,102.33,67.6,82.67,84.2,64.2,41.4,182.4,13.2,25.4,40,16.8,7/1/2018
Uttar Pradesh,24.25,18.25,21.38,66.5,65.88,61.71,67.25,55.38,40.25,48.38,128.71,103.63,81,92.29,107.71,77,39.13,195.63,16.38,10,41.63,24.13,7/1/2018
Uttarakhand,23.25,21.5,23.5,77.25,91.75,92.5,82.75,86.25,42.67,42.67,134.75,93.5,83.75,83.75,106,0,41.33,208.33,18,21.67,50,42.33,7/1/2018
West Bengal,29.71,18.67,24.14,71.43,83.29,86.71,81.57,70.71,43.86,40.14,128.5,100,79.43,85.71,92.71,70,43.14,185,11.57,10.14,46,38.86,7/1/2018
Average Price,30.35,24.1,26.57,74.95,74.37,75.97,74.4,63.06,41.75,42.16,127.14,107.21,79.04,87.8,94.61,73.06,45.14,207.03,15.14,15.27,44.33,24.15,8/1/2018
Maximum Price,52,46,50,132,132,130,140,105,55,65,170,165,115,120,126,98,80,360,22,40,70,60,8/1/2018
Minimum Price,20,16,20,55,53,50,55,45,36,28,88,80,62,70,78,62,29,120,8,7,20,8,8/1/2018
Modal Price,25,18,24,70,70,70,80,53.5,42,40,127.5,100,70,85,97.5,68.33,40,220,17.5,10,40,20,8/1/2018
Andaman and Nicobar,0,36,50,82,0,0,0,65,50,0,0,0,0,0,0,0,0,0,0,24,60,50,8/1/2018
Andhra Pradesh,30,27.5,29.5,77.25,67,75.75,75,63.33,41.25,41.75,105.75,116.25,68.25,87,84.5,66,45.75,212,13.5,16,40.75,9.5,8/1/2018
Assam,30,26,29,65,70,70,75,65,44,56,0,90,75,90,100,0,47,200,12,12,50,55,8/1/2018
Bihar,29.33,18,21.67,71.67,69,75.67,69.33,55,41.33,40,0,96.67,75.33,89,96.5,74.67,36,194.33,14,10.33,43,21.67,8/1/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,42,25,8/1/2018
Chhattisgarh,24.75,25.5,26.67,72,70.5,60,73,54.75,40,41.25,113,99,69,91.33,96.67,80,43.25,188.33,11.5,10.5,43.75,12,8/1/2018
Delhi,34,19,22,79,81,85,84,74,40,42,164,120,88,102,109,78,53,231,17,15,55,27,8/1/2018
Goa,42,30,28,87,70,110,90,75,40,50,170,159,115,100,115,79,60,240,17,22,55,22,8/1/2018
Gujarat,23.75,20.75,24,70,71.75,68.75,66.75,56,40,50.5,102.75,88.5,73.25,80,81.5,69,50.5,213.75,14.75,12,35.5,28.75,8/1/2018
Haryana,31,21,25.25,69,74.75,72.25,65.75,57.5,40.75,43.75,135.75,99,78.25,89.25,99,71.25,42,230,18.5,13.25,44,32,8/1/2018
Himachal Pradesh,30.5,0,23.5,66,70.75,65,70.5,60,41.75,34.25,139,126,89.25,89.75,90,75.5,40.25,182.5,17.5,9.75,48.5,25.5,8/1/2018
Jammu and Kashmir,30.5,22.5,24.5,83,84.5,85,77.5,63,46,38.5,0,118.5,96,112.5,120,95,39,230,18,15,50,25,8/1/2018
Jharkhand,34,24,24,75,70,70,75,55,42,42,145,107,70,104,104,83,38,260,18,13,45,20,8/1/2018
Karnataka,46,31.75,35.5,96.75,81,95.25,77.75,78,40,36,143.25,130.25,85.33,84.25,84,70.25,53.75,239.5,11.25,19.25,44,12.25,8/1/2018
Kerala,40.67,35.33,37.5,80.83,73.67,79.5,75.67,62.2,41.83,43,128.75,144.25,90.4,91,92.25,73.25,56.83,177.83,10.67,27.25,51,20.25,8/1/2018
Madhya Pradesh,24.33,18.83,22.17,71.5,67.83,67.17,62.5,54.67,41,44.33,125.17,86.17,68.33,77.17,88.17,67.33,39.33,217.33,15.83,10.83,35.33,25,8/1/2018
Maharashtra,35,25.5,30.25,74,68.5,76.25,77.75,59,40,39.75,121,125.75,81.25,81.75,90,72.5,44,235.75,16.5,17.25,35.75,23,8/1/2018
Manipur,50,0,30,100,100,100,100,80,50,0,0,109,87,109,0,98,80,240,15,29,68,54,8/1/2018
Meghalaya,25,29,28,85,62,73,80,63,50,64,115,94,72,98,122,88,66,200,20,20,55,35,8/1/2018
Mizoram,30,0,25,0,80,0,140,100,55,65,0,109,0,93,98,0,0,360,22,35,70,0,8/1/2018
Odisha,25.5,0,23.25,59.75,63.5,58.25,69.5,49.75,39.67,34,0,100.33,74,92,95.33,77.33,41.33,180,17,7.67,45.33,18.67,8/1/2018
Puducherry,32,34,28,76,76,80,80,55,38,36,129,132,100,0,88,74,50,250,17,20,45,10,8/1/2018
Punjab,33.5,19.5,23,73.5,79,71,79,72.5,40,45,146.5,94,80.5,87,101,0,43.5,197.5,18,15,49,32.5,8/1/2018
Rajasthan,28,18,21.33,66.33,60.33,60,58,51.67,41.33,38.67,120.33,94.67,67.67,77.67,93.33,0,38.33,207.67,14.33,9,31.67,16.67,8/1/2018
Sikkim,0,21,0,76,85,0,0,0,48,47,0,0,0,0,0,0,0,0,18,16,50,35,8/1/2018
Tamil Nadu,36.4,30.8,30.25,72.6,72,75.8,75.4,60.5,39.2,36,134,114.5,92.6,90,91.8,73,54.6,220,17,18.4,45,9.8,8/1/2018
Telangana,27.33,26.83,28.5,94.67,93.33,97.67,80.83,72.17,42.33,39.83,116.83,104.25,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,17,8/1/2018
Tripura,31,0,31,78,0,80,76,69,47,40,0,117,70,103,0,0,53,178,19,19,54,50,8/1/2018
Uttar Pradesh,24.25,18.25,21.38,66,66,63.5,67.25,55.25,40.25,48.38,129.43,103.38,80.75,92.29,107.71,77,39.13,195.63,16.38,9.75,42.25,23.38,8/1/2018
Uttarakhand,23.25,21.5,23.5,77.25,91.75,92.5,82.75,86.25,42.5,42.75,134.75,93.5,83.75,83.75,105.75,0,41,206.25,18,21.25,50,41.75,8/1/2018
West Bengal,29.71,18.33,23.86,71.14,83.29,86.43,81.43,70.71,43.86,40,128.33,99.71,79,85.43,92.71,69.71,43.14,185,11.67,10.14,46.43,35,8/1/2018
Average Price,30.11,24.01,26.28,74.56,74.02,75.87,74.14,62.7,41.54,42.11,127.31,107.43,78.98,87.47,94.16,72.93,44.96,206.18,15.15,15.06,44.02,22.61,9/1/2018
Maximum Price,52,46,48,132,132,130,140,105,55,65,170,165,115,120,126,95,66,360,22,40,70,58,9/1/2018
Minimum Price,20,16,20,53,55,50,55,45,36,28,88,80,62,70,78,62,29,120,8,7,20,8,9/1/2018
Modal Price,25,18,24,70,70,70,80,53.5,42,40,140,100,70,85,85,64,40,220,17,10,40,20,9/1/2018
Andhra Pradesh,30,27.5,29.5,77,67.75,77.75,75,63.33,41.25,41.75,105.75,116.25,68.25,87,84.5,67.5,45.75,212,13.5,16,41,11.25,9/1/2018
Assam,30,26,29,65,70,70,75,65,44,56,0,90,75,90,100,0,47,200,12,12,50,55,9/1/2018
Bihar,29.33,18,21.67,71.67,69,75.67,69.33,55,41.33,40,0,96.67,75.33,89,96.5,74.67,36,194.33,14,10.33,43,21.67,9/1/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,42,25,9/1/2018
Chhattisgarh,24.8,26.2,27,73.5,69.4,61,72.6,55,40.8,41.8,119.75,102.2,70.2,89.75,93.75,79,44.6,191.8,12,10.4,44,11.6,9/1/2018
Delhi,34,19,22,79,81,85,84,74,40,42,164,120,88,102,109,78,53,231,17,15,55,27,9/1/2018
Goa,42,30,28,87,70,110,90,75,40,50,170,159,115,100,115,79,60,240,17,22,55,22,9/1/2018
Gujarat,23.75,20.75,24,70,71.75,68.75,66.75,56,40,50.5,102.75,88.5,73.25,80,81.5,69,50.5,213.75,14.75,12,35.5,28.25,9/1/2018
Haryana,31,21,25.25,69,74.75,72.25,65.75,57.5,40.75,43.75,135.75,99,78.25,89.25,99,71.25,42,230,18.5,13.25,41.5,28.75,9/1/2018
Himachal Pradesh,30.5,0,23.5,66,70.75,65,70.5,60,41.75,34.25,139,126,89.25,89.75,90,75.5,40.25,182.5,17.5,9.75,48.5,25,9/1/2018
Jammu and Kashmir,30.5,22.5,24.5,83,84.5,85,77.5,63,46,38.5,0,118.5,96,112.5,120,95,39,230,18,15,50,25,9/1/2018
Jharkhand,34,24,24,75,70,70,75,55,42,42,145,107,70,104,104,83,38,260,18,13,45,20,9/1/2018
Karnataka,46,31.75,35.5,96.75,81,95.25,77.75,78,40,36,143.25,130.25,82.25,84.25,84,70.25,53.75,239.5,11.25,19.25,44,12.25,9/1/2018
Kerala,40.67,35.33,37.5,80.83,73.67,79.5,75.67,62.2,41.83,43,128.75,143.8,92,93,89.83,73.33,56.83,177.83,10.67,27.17,50,20.33,9/1/2018
Madhya Pradesh,24.33,18.83,21.83,72.17,66.83,67.33,62.5,54.67,41,44.33,125.17,85.67,68.33,77.17,89,67.33,39.33,217.33,15.83,10.83,34.5,24.17,9/1/2018
Maharashtra,35,25.5,30.25,73.75,68.25,76.25,77.75,59,40,39.75,120.75,125.75,81,81.5,89.75,72.25,44,235.75,16.5,16,35.25,22.5,9/1/2018
Meghalaya,25,29,28,85,62,73,80,63,50,64,115,94,72,98,122,88,66,200,20,20,55,35,9/1/2018
Mizoram,30,0,25,0,80,0,140,100,55,65,0,109,0,93,98,0,0,360,22,35,70,0,9/1/2018
Odisha,25.5,0,23.25,59.75,64.25,58.25,70,50.25,39.75,34.25,0,97.75,73,85,91.5,78.25,41.75,180,17,8.25,45,19,9/1/2018
Puducherry,32,34,28,76,76,80,80,55,38,36,129,132,100,0,88,74,50,250,17,20,45,10,9/1/2018
Punjab,33.5,19.5,23,73.5,79,71,79,72.5,40,45,146.5,94,80.5,87,101,0,43.5,197.5,18,15,49,32.5,9/1/2018
Rajasthan,28,18,21.33,65.67,61,59.67,58.33,51,41,38.67,120.33,94.67,67.67,77.67,93.33,0,38.33,207.67,14.33,9,31.67,16.67,9/1/2018
Sikkim,0,21,0,76,85,100,0,0,48,47,0,0,0,0,0,0,60,0,18,16,50,35,9/1/2018
Tamil Nadu,36.6,30.8,30.25,72.6,72,75.8,75.4,60.5,39.2,36,134,114.5,92.6,90,91.8,73,54.6,220,17,18.4,44.8,9.8,9/1/2018
Telangana,27.33,26.83,28.5,94.67,93.33,97.67,80.83,72.17,42.33,39.83,116.83,104.25,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,9.5,9/1/2018
Tripura,31,0,31,77,0,77,76,69,47,40,0,117,70,103,0,0,53,178,19,19,54,50,9/1/2018
Uttar Pradesh,24.25,18.13,21.38,65.25,66.13,63.25,67.38,54.63,39.88,48.38,129.57,103.38,80.75,92.29,107.71,77,39.13,195.63,16.38,9.5,44.75,23.38,9/1/2018
Uttarakhand,23.25,21.5,23.5,77.25,91.75,92.5,82.75,86.25,42.5,42.75,134.75,93.5,83.75,83.75,105.75,0,41,206.25,18,21.25,50,41.75,9/1/2018
West Bengal,29.86,18.5,24,71.14,83.29,86.29,81.43,70.71,43.86,40,128.33,99.57,79.14,85.43,92.71,69.71,43.14,185,11.67,9.71,46.43,34.71,9/1/2018
Average Price,30.36,24.14,26.57,74.37,74,75.8,74.25,62.83,41.6,42.17,127.01,107.83,79.01,87.22,94.28,73.07,45.32,206.2,15.11,15.16,44.41,22.49,10/1/2018
Maximum Price,57,46,50,132,132,130,140,105,55,65,170,165,115,120,126,96,73,360,22,40,70,58,10/1/2018
Minimum Price,20,16,19,53,55,50,55,45,35,28,88,80,62,70,78,62,29,120,8,7,20,8,10/1/2018
Modal Price,25,21.75,24,70,70,72.5,80,52,42,40,140,100,70,85,85,64,40,220,17,10,45,20,10/1/2018
Andaman and Nicobar,33,36,50,82,77,0,82,65,50,57,0,148,0,0,115,96,73,208,12,24,60,30,10/1/2018
Andhra Pradesh,30,27.5,29.5,77,67.75,77.75,75,63.33,41.25,41.75,105.75,116.25,68.25,87,84.75,67.5,45.75,212,13.5,16,41,11.25,10/1/2018
Assam,30,26,29,65,70,70,75,65,44,56,0,90,75,90,100,0,47,200,12,12,50,55,10/1/2018
Bihar,29.33,18,21.67,71.67,69,75.67,69.33,55,41.33,40,0,96.67,75.33,89,96.5,74.67,36,194.33,14,10.33,43,21.67,10/1/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,42,25,10/1/2018
Chhattisgarh,24.8,26.2,27,73.5,69.4,61,72.6,55,40.8,41.8,123.8,102.2,70.2,89.75,93.75,79,44.6,191.8,12.2,10.4,45,11.6,10/1/2018
Delhi,34,19,22,79,81,85,84,74,40,42,164,120,88,102,109,78,53,231,17,15,54,25,10/1/2018
Goa,42,30,28,87,70,110,90,75,40,50,170,159,115,100,115,79,60,240,17,22,55,22,10/1/2018
Gujarat,23.75,20.75,24,69.5,71.75,68.75,66.75,56,40,50.5,102.75,88.5,73.25,80,81.5,69,50.5,213.75,14.75,12,35.5,28.25,10/1/2018
Haryana,31,21,25.25,69,74.75,72.25,65.75,57.5,40.75,43.75,135.75,99,78.25,89.25,99,71.25,42,230,18.5,13.25,45,28.75,10/1/2018
Himachal Pradesh,30.5,0,23.5,66,70.75,65,70.5,60,41.75,34.25,139,125.75,89,89.75,90,75.5,40.25,182.5,17.5,9.75,48.5,25.75,10/1/2018
Jammu and Kashmir,30.5,22.5,24.5,83,84.5,85,77.5,63,46,38.5,0,118.5,96,112.5,120,95,39,230,18,15,50,25,10/1/2018
Karnataka,46,31.75,35.5,96.75,81,95.25,77.75,78,40,36,143.25,130.25,82.25,84.25,84,70.25,53.75,239.5,11.25,19.25,42.25,12.25,10/1/2018
Kerala,40.67,35.33,37.5,80.83,73.67,79.5,75.67,62.2,41.83,43,128.75,143.8,92,93,89.83,73.33,56.83,177.83,10.67,27.17,50,20.33,10/1/2018
Madhya Pradesh,24.33,18.83,21.83,72.17,66.83,67.33,62.5,54.67,41,44.33,125.17,85.67,68.33,77.17,89,67.33,39.33,217.33,15.83,10.83,35.33,23.33,10/1/2018
Maharashtra,35,25.75,30.25,74.25,68.75,75.75,77,58.75,39.75,39.75,120.75,125.75,81,81.5,89.75,72.5,43.75,235.75,16.5,16,34.75,22.5,10/1/2018
Meghalaya,25,29,28,85,62,73,80,63,50,64,115,94,72,98,122,88,66,200,20,20,55,35,10/1/2018
Mizoram,30,0,25,0,80,0,140,100,55,65,0,109,0,93,98,0,0,360,22,35,70,0,10/1/2018
Odisha,25.5,0,23.25,59.75,64.25,58.25,70,50.25,39.75,34.25,0,100.33,73,85,91.5,78.25,41.75,180,17,8.25,44,19,10/1/2018
Puducherry,32,34,28,76,76,80,80,55,38,36,129,132,100,0,88,74,50,250,17,20,45,10,10/1/2018
Punjab,33.5,19.5,23,73.5,79,71,79,72.5,40,45,146.5,94,80.5,87,101,0,43.5,197.5,18,15,49,32.5,10/1/2018
Rajasthan,28.5,19,22,63,60.75,60.5,60.25,51.75,40.75,37.25,119,92.5,69.5,79.5,93.75,0,38.33,220.75,14.75,9.75,35,15,10/1/2018
Sikkim,57,22,31,76,85,100,87,74,48,47,0,0,0,0,0,0,60,0,18,16,50,35,10/1/2018
Tamil Nadu,36.4,30.8,30.25,72.4,72.4,76.2,75.8,62,39.4,36,134,114.5,91.4,90,91.6,71.8,54.6,220,17,18.4,44.4,9.8,10/1/2018
Telangana,27.33,26.83,28.5,94.67,93.33,97.67,80.83,72.17,42.33,39.83,116.83,104.25,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,9.5,10/1/2018
Tripura,31,0,31,77,0,77,76,69,47,40,0,117,70,103,0,0,53,178,19,19,54,50,10/1/2018
Uttar Pradesh,24.25,18,21.25,64.75,66.25,63.25,67.38,54.25,39.88,48.38,128.86,103.25,80.75,92.29,107.71,77,39.13,195.63,16.38,9.5,45.5,23.38,10/1/2018
Uttarakhand,23.25,21.5,23.5,77.25,91.75,92.5,82.75,86.25,42.5,42.75,134.75,93.5,83.75,83.75,105.75,0,41,206.25,18,21.25,50,41.75,10/1/2018
West Bengal,29.86,18.5,24,71.14,83.29,86.29,81.43,70.71,43.86,40,128.33,99.57,79.86,85.43,92.57,70,43.14,185,11.67,9.86,47.43,34.14,10/1/2018
Average Price,30.62,24.17,26.59,74.61,74.22,76.02,74.55,62.96,41.69,42.16,127.26,107.74,78.95,87.83,94.58,73.44,45.57,207.1,15.13,15.26,44.5,22.65,11/1/2018
Maximum Price,57,46,50,132,132,130,140,105,55,65,170,165,115,120,126,98,80,360,22,40,70,58,11/1/2018
Minimum Price,20,16,19,53,55,50,55,45,35,28,88,80,62,70,78,62,29,120,8,7,20,8,11/1/2018
Modal Price,25,18,24,70,70,70,80,53.5,42,40,140,100,70,85,85,64,40,220,17,10,40,20,11/1/2018
Andaman and Nicobar,33,36,50,82,77,0,82,65,50,57,0,148,0,0,115,96,73,208,12,24,60,30,11/1/2018
Andhra Pradesh,30,27.5,29.5,77,67.75,77.75,75,63.33,41.25,41.75,105.75,116.25,68.25,87,84.75,67.5,45.75,212,13.5,16,41,11.25,11/1/2018
Assam,30,26,29,65,70,70,75,65,44,56,0,90,75,90,100,0,47,200,12,12,48,55,11/1/2018
Bihar,29.33,18,21.67,70,69,75.67,69.33,55,41.33,40,0,93.33,73.33,89,97,72,36,194.33,14,10.67,43.67,21.33,11/1/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,42,25,11/1/2018
Chhattisgarh,25,26.2,27,73.5,69.4,61,72.6,55,40.8,41.8,123.8,102.2,70.2,89.75,93.75,79,44.6,191.8,12.2,10.4,45,11.6,11/1/2018
Delhi,34,20,22,79,81,85,84,74,40,42,164,120,88,102,109,78,53,231,17,15,54,26,11/1/2018
Goa,42,30,28,87,70,110,90,75,40,50,170,159,115,100,115,79,60,240,17,22,55,22,11/1/2018
Gujarat,23.75,20.75,24,69,71.75,68.75,66.75,56,40,50.5,102.75,88.75,73.25,80,81.5,69,50.5,213.75,14.75,12,35.5,28,11/1/2018
Haryana,31,21,25.25,69,74.75,72.25,65.75,57.5,40.75,43.75,135.75,99,78.25,89.25,99,71.25,42,230,18.5,13.25,45,28.75,11/1/2018
Himachal Pradesh,30.5,0,23.5,66,70.75,65,70.5,60,41.75,34.25,139,125.75,89,89.75,90,75.5,40.25,182.5,17.5,9,48.5,25.5,11/1/2018
Jammu and Kashmir,30.5,22.5,24.5,83,84.5,85,77.5,63,46,38.5,0,118.5,96,112.5,120,95,39,230,18,15,50,25,11/1/2018
Jharkhand,34,24,24,75,70,70,75,55,42,42,145,107,70,104,104,83,38,260,18,13,45,20,11/1/2018
Karnataka,46,31.75,35.5,96.75,81,95.25,77.75,78,40,36,143.25,130.25,82.25,84.25,84,70.25,53.75,239.5,11.25,19.25,42.25,12.25,11/1/2018
Kerala,40.67,35.33,37.5,80.83,73.67,79.5,75.67,62.2,41.83,43,128.75,143.8,92,93,89.83,73.33,56.83,177.83,10.67,27.17,50,20.33,11/1/2018
Madhya Pradesh,24.33,18.83,21.83,72.17,66.83,67.33,62.5,54.67,41,44.33,125.17,85.67,68.33,77.17,89,67.33,39.33,217.33,15.83,10.83,35.33,23.33,11/1/2018
Maharashtra,35,25.75,30.25,74.25,68.75,75.75,77.25,58.75,39.75,39.75,120.75,125.75,81,81.5,90,72.5,43.75,235.75,16.5,16,35,22.75,11/1/2018
Manipur,50,0,30,100,100,100,100,80,50,0,0,109,87,109,0,98,80,240,15,25,70,55,11/1/2018
Meghalaya,25,29,28,85,62,73,80,63,50,64,115,94,72,98,122,88,66,200,20,20,55,35,11/1/2018
Mizoram,30,0,25,0,80,0,140,100,55,65,0,109,0,93,98,0,0,360,22,35,70,0,11/1/2018
Odisha,25.5,0,23.25,59.75,64.75,58.25,70,50.25,39.75,34.25,0,100.33,73,92,95.33,78.5,41.75,180,17,8.5,41.75,18,11/1/2018
Puducherry,32,34,28,76,76,80,80,55,38,36,129,132,100,0,88,74,50,250,17,20,45,10,11/1/2018
Punjab,33.5,19.5,23,73.5,79,71,79,72.5,40,45,146.5,94,80.5,87,101,0,43.5,197.5,18,15,49,32.5,11/1/2018
Rajasthan,28.5,19,22,63,60.75,60.5,60.25,51.75,40.75,37.25,119,92.75,69.5,79.5,93.75,0,39,220.75,14.75,9.5,35,13.75,11/1/2018
Sikkim,57,22,31,76,85,100,87,74,48,47,0,0,0,0,0,0,60,0,18,16,50,35,11/1/2018
Tamil Nadu,36.4,30.8,30.25,72.8,72.4,76.6,75.8,62,39.4,36,134,114.5,91.4,90,91.6,71.8,54.6,220,17,19.6,44.6,9.8,11/1/2018
