States/UTs,Rice,Wheat,Atta (Wheat),Gram Dal,Tur/Arhar Dal,Urad Dal,Moong Dal,Masoor Dal,Sugar,Milk @,Groundnut Oil (Packed),Mustard Oil (Packed),Vanaspati (Packed),Soya Oil (Packed),Sunflower Oil (Packed),Palm Oil (Packed),Gur,Tea Loose,Salt Pack (Iodised),Potato,Onion,Tomato,Date
Karnataka,46,31.5,35.5,99.25,80,94.25,76.5,80,40.5,36,141.5,129,81.75,83,83,70.75,53.5,240.25,11.25,19.5,41.5,13.25,3/1/2018
Kerala,40.67,35.33,37.5,80.83,72.5,80.17,75.67,63.5,42,43,128,143.8,92,93,89.83,72.83,57.33,177.83,10.67,26.83,49.17,21.17,3/1/2018
Madhya Pradesh,24.33,18.83,22.17,71.5,67.83,67.17,62.5,54.67,41,44.33,125.17,86.17,68.33,77.17,88.17,67.33,39.33,217.33,15.83,11.17,34.5,24.5,3/1/2018
Maharashtra,34.5,25.5,30.25,74.25,68.5,76.5,78,59,40,39.75,121,126,81.25,82.25,90.25,73.25,44.25,236,16.5,17,35.75,24.5,3/1/2018
Manipur,50,0,30,100,100,100,100,80,50,0,0,109,87,109,0,98,80,240,15,30,70,55,3/1/2018
Meghalaya,25,29,28,85,62,73,80,63,50,64,115,94,72,98,122,88,66,200,20,20,55,35,3/1/2018
Odisha,25.5,0,24.25,61,64,58.75,69,50.75,40,34,0,97.5,73.5,84.5,92,78,41.25,180,17,8.25,42.75,19,3/1/2018
Puducherry,32,34,28,76,76,80,76,55,40,36,126,132,100,0,88,74,50,250,17,20,40,10,3/1/2018
Punjab,32,19.33,23,75.67,82,77.33,79.33,71.67,40.67,46.67,148.67,97.33,84.67,90.67,102,0,46.33,205,18,12,45,28.33,3/1/2018
Rajasthan,28,18,21.33,66.67,60.67,60,58,51.33,41.33,38.67,120.33,94.67,67.67,77.33,92.67,0,38.67,207.67,14.33,9.33,30,16.67,3/1/2018
Sikkim,0,21,0,0,0,100,0,75,48,47,0,120,76,106,120,0,0,277,16,19,50,35,3/1/2018
Tamil Nadu,36.2,30.8,30.25,73.6,72,76,74.5,59.5,39.4,36,134,114.5,92.6,90,91.8,72.6,54,220,17,18.6,42,9.8,3/1/2018
Telangana,27.33,26.83,28.5,94.67,93.33,97.67,80.83,72.17,42.33,39.83,116.83,104.25,67.67,82.67,84.17,64.33,41.67,182,13,25.33,40.33,17,3/1/2018
Tripura,31,0,31,78,0,80,76,69,47,40,0,117,70,103,0,0,53,178,19,19,54,50,3/1/2018
Uttar Pradesh,24.25,18.25,21.38,67.38,66,64.13,67.63,55.63,40.5,48.38,129.43,104.25,81,92.29,107.71,77,39.63,196.88,15.88,9.88,38.5,24.25,3/1/2018
Uttarakhand,23.25,21.5,23.5,77.25,91.75,92.5,82.75,86.25,42.5,42.75,134.75,93.5,83.75,83.75,105.75,0,41,206.25,18,21.25,50,41.75,3/1/2018
West Bengal,29.71,18.5,24,71.43,83.14,87,81.29,70.29,43.86,40,127,99.43,79.71,85.43,92.57,69.86,43.29,184.29,11.43,9.71,45.43,39.29,3/1/2018
Average Price,30.04,24.28,26.59,75.25,74.17,76.41,74.13,62.84,41.91,42.42,127.53,107.82,79.51,87.71,94.77,72.92,45.4,205.72,14.96,15.32,42.88,24.39,4/1/2018
Maximum Price,52,46,50,132,132,130,140,105,55,65,170,165,121,120,126,95,74,360,22,40,70,60,4/1/2018
Minimum Price,20,16,20,56,54,50,55,45,36,28,88,80,62,70,78,62,30,120,8,6,20,7,4/1/2018
Modal Price,25,18,24,70,70,70,80,57.33,42,40,127.5,100,70,85,85,70,40,220,17.5,10,40,20,4/1/2018
Andaman and Nicobar,33,36,50,82,76,88,81,64,52,60,0,148,121,0,115,94,74,208,12,24,60,30,4/1/2018
Andhra Pradesh,30,27.5,29.5,77.25,67,75.75,75,57.5,41.25,41.75,105.75,116.75,68.25,87,84.75,67.5,45.75,212,13.5,15.75,38.25,9.5,4/1/2018
Assam,30,26,29,67,70,70,75,65,44,56,0,90,75,90,100,0,47,200,12,12,48,55,4/1/2018
Bihar,29.33,18,21.67,71.67,69,75.67,69.33,55,41.33,39.33,0,93.33,73,89,96.5,72,36,194.33,14,10.33,44,21.67,4/1/2018
Chandigarh,28,23,25,68,64,64,65,55,42,44,128,105,75,85,92,0,37,220,16,10,42,27,4/1/2018
Chhattisgarh,24.8,26.2,27.2,74.8,69.4,62,72.6,56,41,41.8,124.8,102.2,70.2,89.2,93.8,79,43.6,183.8,11.6,12,43.6,16,4/1/2018
Delhi,34,19,22,81,82,85,84,74,40,42,164,120,88,102,109,78,53,231,17,15,50,27,4/1/2018
Goa,42,30,28,90,70,110,90,70,40,50,170,159,115,100,115,79,60,240,17,25,47,25,4/1/2018
Gujarat,23.75,20.75,24,70,71.75,68.75,66.75,56,40,50.5,102.75,88.5,73.25,80,81.5,69,50.5,213.75,14.75,12,35.5,28.75,4/1/2018
Haryana,31,21,25.25,69,74.75,72.25,65.75,57.5,40.75,43.75,135.75,99,78.25,89.25,99,71.25,42,230,18.5,13.25,42.75,30.75,4/1/2018
Himachal Pradesh,31,0,23.75,67.5,72,68.25,69.75,58.75,43.25,34.25,135,125.25,88,87,90,73,42,177.5,17.5,10.25,45,26.25,4/1/2018
Jammu and Kashmir,30.5,22.5,24.5,83,84.5,85,77.5,63,46,38.5,0,118.5,96,112.5,120,95,39,230,18,15,47.5,25,4/1/2018
Jharkhand,34,24,25,75,70,70,75,55,42,42,145,107,75,104,104,76,38,260,18,13,40,20,4/1/2018
Karnataka,46,31.75,35.5,103.67,84.67,102.33,78.33,78,40,36,143.25,134,82.25,84.25,84,70.25,53.75,239.5,11.25,19.25,41.75,12,4/1/2018
Kerala,40.67,35.33,37.5,80.83,72.5,80.17,75.67,63.5,42,43.2,128,143.8,92,93,89.83,72.83,57.33,177.83,10.67,26.83,49.17,21.17,4/1/2018
Madhya Pradesh,24.33,18.83,22.17,71.5,67.83,67.17,62.5,54.67,41,44.33,125.17,86.17,68.33,77.17,88.17,67.33,39.33,217.33,15.83,11.17,34.5,25.83,4/1/2018
Maharashtra,34.5,25.5,30.25,74.25,68.5,76.75,78,59.25,40,39.75,121,125.75,81.25,82.25,90.25,73.25,44.75,236,16.5,18,35.75,25.25,4/1/2018
Meghalaya,25,29,28,85,62,73,80,63,50,64,115,94,72,98,122,88,66,200,20,20,55,35,4/1/2018
Mizoram,30,0,25,0,80,0,140,100,55,65,0,109,0,93,98,0,0,360,22,30,70,0,4/1/2018
